iter	Accuracy	MultiClass
506	0.6532701382	0.7676424441
507	0.6533048863	0.7676009154
508	0.6534994753	0.7675226221
509	0.6534230296	0.7673999303
510	0.6534994753	0.7673496391
511	0.6534230296	0.7672716089
512	0.6535342233	0.767211457
513	0.6535828706	0.7671643583
514	0.6537218628	0.7670928343
515	0.6537288124	0.7670061861
516	0.6536871147	0.7669051856
517	0.6537774596	0.7668302424
518	0.6537913589	0.7667593767
519	0.6537983085	0.7667307221
520	0.6538747542	0.7666533853
521	0.653895603	0.766544143
522	0.6538886534	0.7664947427
523	0.653930351	0.7664350903
524	0.6539373006	0.7663986839
525	0.6540693432	0.7662150841
526	0.6541110408	0.7661666769
527	0.6540832424	0.7661417174
528	0.6541110408	0.766115345
529	0.6541110408	0.766099974
530	0.6543403779	0.7659644502
531	0.6543612267	0.7659355878
532	0.6543195291	0.7658332868
533	0.6543403779	0.7658150459
534	0.6543612267	0.7657303172
535	0.6544376724	0.7656872414
536	0.6544376724	0.7656237566
537	0.6545210677	0.7655955612
538	0.6545071685	0.765544698
539	0.654604463	0.7655132501
540	0.654604463	0.765465048
541	0.6545419166	0.7654278016
542	0.654569715	0.7653534746
543	0.6546878583	0.765293028
544	0.6546878583	0.7652371941
545	0.6547434552	0.7650831952
546	0.6547017576	0.7649815124
547	0.6547573544	0.764919727
548	0.6548129513	0.7648431815
549	0.6547851529	0.7648038466
550	0.6549797419	0.7647339114
551	0.6549797419	0.7646965419
552	0.6550075403	0.7646743602
553	0.6549658427	0.764634494
554	0.6550283892	0.7645971105
555	0.6550214395	0.7645524796
556	0.6549727923	0.764492854
557	0.6549658427	0.7644208739
558	0.6549380442	0.764369471
559	0.6549102458	0.7643670659
560	0.6548546489	0.764325865
561	0.6549936411	0.7642666058
562	0.6549658427	0.7642149336
563	0.6550909356	0.7641606813
564	0.6551187341	0.764125258
565	0.655083986	0.7640855407
566	0.6550631372	0.7640662058
567	0.6552229782	0.7639876534
568	0.6552160286	0.7639583625
569	0.6553619704	0.7639237079
570	0.6553897688	0.7639083372
571	0.6554592649	0.7638631442
572	0.6554175672	0.7638300253
573	0.6554940129	0.7637374162
574	0.6555148617	0.763670744
575	0.6554940129	0.7636298484
576	0.6555148617	0.76359269
577	0.6555704586	0.7635133926
578	0.6554731641	0.7634623458
579	0.6554731641	0.7634329122
580	0.6553758696	0.7633763559
581	0.6553897688	0.7633241049
582	0.6554106176	0.7632848994
583	0.6554314664	0.7632449471
584	0.6553619704	0.7632209637
585	0.6553967184	0.7631789602
586	0.6555704586	0.7631339998
587	0.6555704586	0.7630683868
588	0.6554801137	0.7630337524
589	0.6555357106	0.7629442465
590	0.6555148617	0.7628983264
591	0.6556052066	0.762864807
592	0.6556121563	0.7628165655
593	0.6556816523	0.7627700145
594	0.6556955516	0.7626768691
595	0.6558762414	0.7626382796
596	0.6557164004	0.7626148732
597	0.655563509	0.7625098565
598	0.6556677531	0.7624620277
599	0.6556330051	0.7623962224
600	0.6557511484	0.7623115778
601	0.6557719972	0.7622630788
602	0.6558136949	0.7621868649
603	0.6559040398	0.7620842664
604	0.6558901406	0.7620205573
605	0.6557511484	0.7618964196
606	0.6557858965	0.7618702062
607	0.6557302996	0.7618510005
608	0.6558067453	0.7617890757
609	0.6557858965	0.7617474281
610	0.6557858965	0.761721109
611	0.6558136949	0.761641286
612	0.6558484429	0.7615819725
613	0.655883191	0.7615363558
614	0.6559248886	0.761457054
615	0.6559874351	0.7614275234
616	0.6561681249	0.7613516619
617	0.6561681249	0.7612998482
618	0.6563210163	0.7610957395
619	0.6563140667	0.7610732524
620	0.6563696636	0.7610338977
621	0.6564183108	0.7609596253
622	0.656522555	0.7608992205
623	0.6564461093	0.7608642539
624	0.6565990006	0.7607722815
625	0.6566059503	0.7607273542
626	0.6566267991	0.760663233
627	0.6566059503	0.760627109
628	0.656592051	0.7605900265
629	0.656592051	0.7605196547
630	0.6566754463	0.7604818774
631	0.6566476479	0.7604134031
632	0.6567866401	0.7603430756
633	0.6568908842	0.760282081
634	0.6569256322	0.7602257256
635	0.6568630858	0.7601780215
636	0.6569395315	0.7601377742
637	0.6569673299	0.7601166522
638	0.6569186826	0.7600256954
639	0.6570159771	0.759977705
640	0.6570646244	0.7599292239
641	0.657196667	0.7598919599
642	0.6571132717	0.7598319559
643	0.6571132717	0.7597966959
644	0.6571341205	0.7597557255
645	0.6572522638	0.7596813792
646	0.6573148103	0.7596218173
647	0.6573356591	0.7595970545
648	0.6574538025	0.7595179846
649	0.6573982056	0.7594824806
650	0.6574607521	0.759445595
651	0.6575024497	0.7594162224
652	0.6576553411	0.7593535918
653	0.6575788954	0.7592880207
654	0.657551097	0.7592480886
655	0.6575997443	0.7591844301
656	0.6575997443	0.7591375978
657	0.657516349	0.7590598156
658	0.6577317868	0.7590000316
659	0.6576622907	0.7589813853
660	0.6576761899	0.7589298379
661	0.6577248372	0.7588732309
662	0.657870779	0.7588434066
663	0.6578290813	0.7588259379
664	0.6578221317	0.7587625945
665	0.6579541743	0.7586923607
666	0.6580097711	0.7586439785
667	0.6580514688	0.7585828369
668	0.6580862168	0.7585473346
669	0.6581140153	0.7584646543
670	0.6581418137	0.7584200533
671	0.6581557129	0.7583997208
672	0.6583364027	0.7583548799
673	0.6584406469	0.7583043821
674	0.6583919996	0.758261577
675	0.6584128484	0.758252922
676	0.6583433524	0.758223209
677	0.658350302	0.7581973478
678	0.6584753949	0.7581376231
679	0.6584892941	0.7580881718
680	0.6584614957	0.7579923559
681	0.6584684453	0.7579222436
682	0.6584892941	0.757873021
683	0.6584753949	0.757839091
684	0.6585657398	0.7577975266
685	0.6585379414	0.7577674767
686	0.6585379414	0.7577411179
687	0.6586352359	0.7576769034
688	0.65873948	0.7576057161
689	0.6587811777	0.7575392234
690	0.6588506738	0.7574568273
691	0.6589271195	0.757417807
692	0.6589479683	0.7573874487
693	0.6590105148	0.7573512745
694	0.6589966155	0.7572914098
695	0.6589757667	0.7572413668
696	0.6589479683	0.7571601954
697	0.658899321	0.7571169133
698	0.6591286581	0.7570513124
699	0.6591078093	0.7569883931
700	0.659184255	0.7569512469
701	0.6590800108	0.7569059697
702	0.6590105148	0.7568663304
703	0.6590939101	0.7568177557
704	0.6591703558	0.7567802125
705	0.6591564565	0.7567254895
706	0.659219003	0.7566827599
707	0.659219003	0.7566457797
708	0.6591773054	0.7566037548
709	0.6591703558	0.7565276303
710	0.6591773054	0.7564647503
711	0.6592259526	0.7564195726
712	0.6592468014	0.7563926013
713	0.6593023983	0.7563569036
714	0.6593371464	0.7563215359
715	0.6593996928	0.7562817606
716	0.6594413905	0.7562324932
717	0.659538685	0.7561729602
718	0.6595317354	0.7561457487
719	0.6595525842	0.7561025316
720	0.6596846268	0.7560564473
721	0.6596081811	0.7560239542
722	0.6597193748	0.7559409258
723	0.6597124252	0.7559129377
724	0.6598027701	0.7558899392
725	0.6598166693	0.7558274187
726	0.6598861654	0.7557690323
727	0.6599556615	0.7556512651
728	0.6599278631	0.7556215162
729	0.6599278631	0.7556045991
730	0.6600112584	0.7555744259
731	0.6600599056	0.7554852535
732	0.6601294017	0.7554475955
733	0.6601641498	0.7553935188
734	0.660178049	0.7553236697
735	0.6602266962	0.7552324441
736	0.660372638	0.7551744931
737	0.6604351845	0.7551209112
738	0.6604490837	0.7550801728
739	0.6605116302	0.7550075886
740	0.6605046806	0.754979854
741	0.6605394286	0.7549054037
742	0.6606297735	0.7548410974
743	0.6606645216	0.7548029258
744	0.6606436727	0.7547486005
745	0.6606575719	0.7546889872
746	0.6606019751	0.7546610587
747	0.6606645216	0.7546378744
748	0.6606367231	0.7545727018
749	0.6606158743	0.7545450087
750	0.6606297735	0.7545157493
751	0.6607618161	0.7544745468
752	0.6609425059	0.7543973773
753	0.6609564051	0.7543842967
754	0.6609911531	0.7543233523
755	0.6610189516	0.7542743939
756	0.6609981028	0.7542553617
757	0.6610606492	0.7542158318
758	0.6610398004	0.7541729684
759	0.6610328508	0.7541199896
760	0.661171843	0.7537883751
761	0.6612969359	0.7537327164
762	0.6613942304	0.7536886118
763	0.6614081297	0.7536446441
764	0.6613733816	0.753616277
765	0.6613386336	0.7535701194
766	0.6614289785	0.7535342955
